ADDRESS_LA,X,Y
617 S CLAIBORNE AVE,3676618.081,530636.6319
645 BERTRAND ST,3676187.503,531296.4871
627 BOLIVAR ST,3676468.747,531263.3461
1959 POYDRAS ST,3676275.117,531220.765
631 BOLIVAR ST,3676460.997,531236.0016
711 BOLIVAR ST,3676354.928,530779.2674
527 S DERBIGNY ST,3677122.621,531474.6859
619 BERTRAND ST,3676237.475,531474.0921
1954 PERDIDO ST,3676420.038,531493.8772
2035 POYDRAS ST,3676021.344,531334.6895
1935 POYDRAS ST,3676474.845,531151.4566
2032 POYDRAS ST,3675874.176,531176.3557
1949 LAFAYETTE ST,3676159.96,530748.5731
717 BERTRAND ST,3676077.747,530787.8418
1700 TULANE AVE,3677624.665,531992.0598
2321 PERDIDO ST,3675046.907,532322.2429
624 S PRIEUR ST,3676118.778,531461.8952
629 BERTRAND ST,3676216.823,531383.8815
1800 GRAVIER ST,3677206.972,531649.3272
2012 PERDIDO ST,3676197.873,531617.6495
520 S ROMAN ST,3676991.543,531627.5121
2008 PERDIDO ST,3676226.71,531606.1547
521 S DERBIGNY ST,3677139.122,531531.9705
616 S PRIEUR ST,3676151.6,531516.2172
1964 PERDIDO ST,3676367.088,531525.6233
536 S ROMAN ST,3676964.945,531510.5623
1958 PERDIDO ST,3676395.214,531511.8721
620 S PRIEUR ST,3676134.432,531488.032
542 S ROMAN ST,3676950.277,531454.6417
531 S DERBIGNY ST,3677114.015,531443.0161
1946 PERDIDO ST,3676473.145,531466.5975
621 BERTRAND ST,3676234.145,531440.359
628 S PRIEUR ST,3676102.082,531433.0058
1942 PERDIDO ST,3676504.82,531452.9865
535 S DERBIGNY ST,3677093.307,531417.8713
1934 PERDIDO ST,3676560.339,531428.2195
625 BERTRAND ST,3676225.113,531410.9115
616 BERTRAND ST,3676387.997,531400.9357
632 S PRIEUR ST,3676087.122,531409.7505
1825 PERDIDO ST,3676929.248,531371.0912
633 BERTRAND ST,3676209.124,531357.0336
619 BOLIVAR ST,3676493.497,531349.096
622 BERTRAND ST,3676367.373,531329.4065
621 BOLIVAR ST,3676485.248,531319.8413
639 BERTRAND ST,3676197.978,531325.2657
623 BOLIVAR ST,3676476.622,531291.1861
2013 POYDRAS ST,3676133.372,531282.1867
2052 POYDRAS ST,3675709.121,531268.7484
635 BOLIVAR ST,3676453.247,531207.7459
2040 LAFAYETTE ST,3675703.872,530919.0309
1901 JULIA ST,3675668.313,530550.8976
3821 PALMYRA ST,3671483.797,537163.6907
236 S SCOTT ST,3671386.057,537177.2254
223 S CORTEZ ST,3671631.71,537152.0581
4030 BANKS ST,3670495.495,537190.4303
309 S SCOTT ST,3671177.241,537154.8874
124 S TELEMACHUS ST,3672246.682,537151.4409
3604 CANAL ST,3672468.488,537143.6965
3921 BANKS ST,3670927.578,537053.2382
130 S TELEMACHUS ST,3672212.004,537114.9092
4404 S CARROLLTON AVE,3670177.787,537111.4164
319 S SCOTT ST,3671140.781,537104.0267
220 S CORTEZ ST,3671763.483,537062.9753
4039 BAUDIN ST,3670339.812,537033.9506
3826 PALMYRA ST,3671378.25,537074.2445
3530 CANAL ST,3672586.112,537039.8905
239 S CORTEZ ST,3671554.133,537049.2413
411 S PIERCE ST,3670605.988,537024.8557
310 S SCOTT ST,3671280.287,537064.261
4035 BAUDIN ST,3670365.512,537017.3508
224 S TELEMACHUS ST,3672039.667,536854.2958
3521 CLEVELAND AVE,3672508.152,536845.5758
123 S CLARK ST,3672638.092,536849.1958
4308 S CARROLLTON AVE,3669924.769,536863.6072
422 S PIERCE ST,3670673.635,536863.8631
3815 BANKS ST,3671273.499,536770.1539
3501 CLEVELAND AVE,3672629.022,536753.1313
3838 BANKS ST,3671040.078,536780.9261
3834 BANKS ST,3671054.171,536751.1596
3524 CLEVELAND AVE,3672381.893,536735.8762
309 S TELEMACHUS ST,3671727.929,536735.3886
324 S CORTEZ ST,3671519.339,536731.6296
126 S CLARK ST,3672757.489,536747.6581
341 S CORTEZ ST,3671355.185,536738.849
328 S CORTEZ ST,3671499.588,536708.8409
3518 CLEVELAND AVE,3672422.827,536704.698
3826 BANKS ST,3671107.181,536710.0843
317 S TELEMACHUS ST,3671685.955,536683.0515
3514 CLEVELAND AVE,3672442.782,536691.0563
517 S PIERCE ST,3670339.012,536690.1365
500 S PIERCE ST,3670548.948,536689.6866
4230 S CARROLLTON AVE,3669811.592,536692.4154
332 S CORTEZ ST,3671482.077,536685.5855
134 S CLARK ST,3672713.189,536691.9938
414 S SCOTT ST,3670981.676,536705.2779
300 S TELEMACHUS ST,3671868.838,536700.8467
3510 CLEVELAND AVE,3672482.244,536684.4627
3820 BANKS ST,3671145.039,536684.3105
521 S PIERCE ST,3670319.982,536665.1615
4226 S CARROLLTON AVE,3669791.612,536668.4715
336 S CORTEZ ST,3671463.452,536660.8567
416 S SCOTT ST,3670965.991,536675.4391
304 S TELEMACHUS ST,3671852.397,536679.3298
3816 BANKS ST,3671163.344,536670.7861
3915 BAUDIN ST,3670726.046,536672.623
3508 CLEVELAND AVE,3672500.582,536648.5105
3419 CLEVELAND AVE,3672785.465,536631.9591
3719 BANKS ST,3671535.013,536623.1558
420 S SCOTT ST,3670947.112,536645.4503
3808 BANKS ST,3671204.226,536636.9923
308 S TELEMACHUS ST,3671836.732,536658.7971
529 S PIERCE ST,3670277.269,536603.6914
3620 PALMYRA ST,3671911.157,536617.5808
3922 BAUDIN ST,3670574.812,536593.8756
310 S TELEMACHUS ST,3671820.504,536641.4489
232 S GENOIS ST,3672217.097,536622.2113
213 S CLARK ST,3672441.137,536599.2557
3616 PALMYRA ST,3671929.072,536603.3469
424 S SCOTT ST,3670930,536623.6373
531 S PIERCE ST,3670260.288,536583.1268
316 S TELEMACHUS ST,3671802.303,536616.4342
333 S TELEMACHUS ST,3671610.462,536589.8414
337 S TELEMACHUS ST,3671591.262,536564.7709
3608 PALMYRA ST,3671984.733,536562.4313
520 S PIERCE ST,3670457.012,536566.5118
3521 PALMYRA ST,3672251.698,536564.0409
431 S CORTEZ ST,3671113.477,536459.6911
3631 BANKS ST,3671705.177,536459.0112
224 S CLARK ST,3672556.068,536435.8165
323 S GENOIS ST,3671917.722,536445.5655
3716 BANKS ST,3671427.613,536441.4427
4035 ULLOA ST,3669856.587,536429.9393
3316 CANAL ST,3673394.472,536431.4694
422 S CORTEZ ST,3671272.363,536453.0848
500 S SCOTT ST,3670824.252,536445.3215
3522 PALMYRA ST,3672157.733,536434.3266
3621 BANKS ST,3671754.998,536422.9011
609 S PIERCE ST,3670143.376,536442.2035
327 S GENOIS ST,3671899.627,536422.2212
4031 ULLOA ST,3669883.824,536410.8518
508 S SCOTT ST,3670804.068,536420.041
3518 PALMYRA ST,3672184.967,536414.1856
3439 PALMYRA ST,3672452.511,536390.9146
3615 BANKS ST,3671807.079,536386.6983
3514 PALMYRA ST,3672213.392,536393.1706
3826 BAUDIN ST,3670859.594,536396.0631
4118 S CARROLLTON AVE,3669537.078,536403.3059
312 S GENOIS ST,3672099.068,536389.5363
3435 PALMYRA ST,3672476.502,536376.2091
514 S SCOTT ST,3670782.602,536393.2506
3827 TULANE AVE,3670384.768,535840.3338
